Journal,Num reviews
Pigment Cell & Melanoma Research: The Official Journal of the International Federation of Pigment Cell Societies and the Society for Melanoma Research,1
Plant Biology,1
Plant Ecology (formerly Vegetatio),2
Plant and Soil,2
Plasma Science and Technology,1
Plastic and Reconstructive Surgery,1
Plastic and Reconstructive Surgery - Global Open,1
Plos One,93
Polar Biology,2
"Policy, Politics, and Nursing Practice",2
Political Communication,3
Political Research Quarterly,5
"Politics, Groups, and Identities",1
Polymer Bulletin,1
Polymer Chemistry,6
Polymer Composites,6
Polymer-Plastics Technology and Engineering,5
Polymers,3
Practical Radiation Oncology,6
Primates; Journal of Primatology,2
Proceedings of the IEEE Engineering in Medicine and Biology Conference,4
Proceedings of the National Academy of Sciences,31
"Proceedings of the Royal Society A: Mathematical, Physical and Engineering Sciences",2
Proceedings of the Royal Society B: Biological Sciences,7
Process Safety and Environmental Protection,1
Progress in Electromagnetics Research,3
Progress in Transplantation,2
Protein Science,1
Psycho-Oncology,10
Psychological Medicine,4
Psychological Science,6
Psychology and Aging,14
Psychology of Addictive Behaviors,1
Psychoneuroendocrinology,1
Psychopathology,1
Psychosomatic Medicine,1
Public Administration,1
Public Health Nursing,6
Public Health Nutrition,2
Qualitative Health Research,2
RECOMB Conference,1
RILCE. Revista de Filologia Hispanica,1
RSC Advances,50
Radiation Research,5
Regulation & Governance,12
Remote Sensing,2
Renal Failure,2
Renewable Energy,1
Renewable and Sustainable Energy Reviews,8
Research & Reviews in Polymer,1
Research in Nursing & Health,22
Research in Social Stratification and Mobility,1
Resource and Energy Economics,1
Resources Policy,1
Respirology,3
Restoration Ecology,1
Review of Finance,2
Review of International Organizations,1
Review of International Political Economy,1
Review of Religious Research,3
Review of Scientific Instruments,3
Reviews in Cell Biology and Molecular Medicine,1
Revista Mexicana de Biodiversidad,1
Rheumatology,1
Romanic Review,1
Royal Society Open Science,9
Rubriq,1
SAGE Open Nursing,2
SLAS Discovery,2
Scholarly Editing,1
SciFed Journal of Protein Science,1
Science,3
Science Advances,1
Science Education,4
Science and Technology of Advanced Materials,1
Science of the Total Environment,8
Scientific Reports,49
Semantic Web Journal,1
Sensors,11
Small,1
Social Cognitive and Affective Neuroscience,23
Social Forces,6
Social Inclusion,1
Social Networks,1
Social Neuroscience,28
Social Policy & Administration,3
Social Science & Medicine,6
Social Science Computer Review,2
Social Science Quarterly,1
Social Science Research,9
Social Work Research,15
Sociological Methodology,2
Sociological Methods & Research,1
Sociology of Religion,4
Socius: Sociological Research for a Dynamic World,3
Soft Matter,2
Soil Biology and Biochemistry,1
Southeastern Geographer,1
Stat,1
Statistical Methods in Medical Research,8
Statistics in Biopharmaceutical Research,1
Statistics in Medicine,18
Stem Cell Research & Therapy,6
Stem Cells Translational Medicine,2
Studies in American Political Development,1
Studies in Applied Mathematics,2
Studies in Religion / Sciences Religieuses,3
Supportive Care in Cancer,1
Sustainability,2
Symposium - Quarterly Journal in Modern Literatures,6
Systematic Biology,4
Systematics and Biodiversity,2
Taxon,1
Teaching and Learning in Nursing,1
Technological Forecasting and Social Change,1
Technology in Cancer Research & Treatment,3
Tetrahedron,1
Tetrahedron Letters,11
Textile Research Journal,6
Thalassas: An International Journal of Marine Sciences,1
The American Journal of Tropical Medicine and Hygiene,1
The American Journal of the Medical Sciences,1
The American Journal on Addictions,1
The American Statistician,1
The Annals of Thoracic Surgery,11
The British Journal of Psychiatry,1
The British Journal of Radiology,12
The British Journal of Social Work,3
The Canadian Journal of Chemical Engineering,1
The Clinical Respiratory Journal,2
The EMBO Journal,1
The Energy Journal,1
The FEBS Journal,2
The International Journal of Human Resource Management,1
The Journal of Chemical Physics,1
The Journal of Development Studies,1
The Journal of Experimental Biology,1
The Journal of Infectious Diseases,2
The Journal of Neuroscience,25
The Journal of Pathology,1
The Journal of Physical Chemistry,2
The Journal of Politics,1
The Journal of Thoracic and Cardiovascular Surgery,28
The Journal of Wildlife Management,2
The Journal of the Acoustical Society of America,3
The Journal of the Acoustical Society of America Express Letters,2
The Journal of the Torrey Botanical Society,1
The Journals of Gerontology: Series A Biological Sciences and Medical Sciences,2
The Lancet HIV,1
The Laryngoscope,151
The Neuroradiology Journal,1
Theoretical Chemistry Accounts,1
"Theory, Culture and Society",2
Therapeutic Advances in Drug Safety,1
Therapeutic Advances in Medical Oncology,1
Therapeutic Innovation & Regulatory Science,1
Therapeutics and Clinical Risk Management,1
Thoracic Cancer,9
Tissue and Cell,2
Toxicology,2
Toxicology and Applied Pharmacology,6
Transboundary and Emerging Diseases,2
Translational Biomedicine,1
Translational Research,1
Transplant Immunology,2
Transplant Infectious Disease,24
Transplantation,22
Transplantation Reviews,3
Trends in Analytical Chemistry,1
Trends in Biotechnology,1
Trends in Cardiovascular Medicine,1
Trends in Cognitive Sciences,2
Trends in Ecology and Evolution,1
Trends in Immunology,1
Trends in Neurosciences,1
Trends in Pharmacological Sciences,1
Trials,8
Tropical Conservation Science,1
Tropical Medicine and Infectious Disease,1
Tumor Biology,5
Ultramicroscopy,2
Ultrasound in Medicine and Biology,18
Ultrasound in Obstetrics & Gynecology,1
Undersea and Hyperbaric Medicine,1
United European Gastroenterology Journal,2
Urban Forestry and Urban Greening,1
Urologic Oncology: Seminars and Original Investigations,2
Vaccine,2
Value in Health,1
Veterinary and Comparative Oncology,3
Virologica Sinica,1
Virology,3
Virology Journal,2
Virus Research,3
Viruses,10
Vision Research,1
Water,7
Water Research,1
Water Resources,1
Water Resources Research,11
Water Resources and Economics,1
Wildlife Research,1
Yeast,1
Zoo Biology,1
Zoonoses and Public Health,1
eLife,7
eNeuro,1
mBio,12
mSphere,7
mSystems,3
