journal,ISSN,EncodedTitle
Regenerative Therapy,23523204,Regenerative%20Therapy
Reproductive Biomedicine & Society Online,24056618,Reproductive%20Biomedicine%20%26%20Society%20Online
Research in Globalization,2590051X,Research%20in%20Globalization
Research Policy: X,25901451,Research%20Policy%3A%20X
"Resources, Conservation & Recycling: X",2590289X,Resources%2C%20Conservation%20%26%20Recycling%3A%20X
Respiratory Medicine Case Reports,22130071,Respiratory%20Medicine%20Case%20Reports
Respiratory Medicine: X,25901435,Respiratory%20Medicine%3A%20X
Results in Applied Mathematics,25900374,Results%20in%20Applied%20Mathematics
Results in Chemistry,22117156,Results%20in%20Chemistry
Results in Control and Optimization,26667207,Results%20in%20Control%20and%20Optimization
Results in Engineering,25901230,Results%20in%20Engineering
Results in Geochemistry,26662779,Results%20in%20Geochemistry
Results in Materials,2590048X,Results%20in%20Materials
Results in Physics,22113797,Results%20in%20Physics
Resuscitation Plus,26665204,Resuscitation%20Plus
Reviews in Physics,24054283,Reviews%20in%20Physics
Revista Argentina de Microbiología,03257541,Revista%20Argentina%20de%20Microbiolog%C3%ADa
Revista Brasileira de Anestesiologia,00347094,Revista%20Brasileira%20de%20Anestesiologia
Revista Colombiana de Cardiología,01205633,Revista%20Colombiana%20de%20Cardiolog%C3%ADa
Revista de Gastroenterología de México,03750906,Revista%20de%20Gastroenterolog%C3%ADa%20de%20M%C3%A9xico
Revista de Gastroenterología de México (English Edition),2255534X,Revista%20de%20Gastroenterolog%C3%ADa%20de%20M%C3%A9xico%20%28English%20Edition%29
Revista Médica Clínica Las Condes,07168640,Revista%20M%C3%A9dica%20Cl%C3%ADnica%20Las%20Condes
Rice Science,16726308,Rice%20Science
Safety and Health at Work,20937911,Safety%20and%20Health%20at%20Work
Saudi Dental Journal,10139052,Saudi%20Dental%20Journal
Saudi Journal of Biological Sciences,1319562X,Saudi%20Journal%20of%20Biological%20Sciences
Saudi Pharmaceutical Journal,13190164,Saudi%20Pharmaceutical%20Journal
Schizophrenia Research: Cognition,22150013,Schizophrenia%20Research%3A%20Cognition
Science of Remote Sensing,26660172,Science%20of%20Remote%20Sensing
Scientific African,24682276,Scientific%20African
Sensing and Bio-Sensing Research,22141804,Sensing%20and%20Bio-Sensing%20Research
Sensors and Actuators Reports,26660539,Sensors%20and%20Actuators%20Reports
Sexual Medicine,20501161,Sexual%20Medicine
"She Ji: The Journal of Design, Economics, and Innovation",24058726,She%20Ji%3A%20The%20Journal%20of%20Design%2C%20Economics%2C%20and%20Innovation
Sleep Medicine: X,25901427,Sleep%20Medicine%3A%20X
Social Sciences & Humanities Open,25902911,Social%20Sciences%20%26%20Humanities%20Open
Soft Computing Letters,26662221,Soft%20Computing%20Letters
Software Impacts,26659638,Software%20Impacts
SoftwareX,23527110,SoftwareX
Soils and Foundations,00380806,Soils%20and%20Foundations
Solid Earth Sciences,2451912X,Solid%20Earth%20Sciences
South African Journal of Chemical Engineering,10269185,South%20African%20Journal%20of%20Chemical%20Engineering
SSM - Mental Health,26665603,SSM%20-%20Mental%20Health
SSM - Population Health,23528273,SSM%20-%20Population%20Health
Stem Cell Research,18735061,Stem%20Cell%20Research
Surgery in Practice and Science,26662620,Surgery%20in%20Practice%20and%20Science
Surgery Open Science,25898450,Surgery%20Open%20Science
Sustainable Futures,26661888,Sustainable%20Futures
Taiwanese Journal of Obstetrics & Gynecology,10284559,Taiwanese%20Journal%20of%20Obstetrics%20%26%20Gynecology
Technical Innovations & Patient Support in Radiation Oncology,24056324,Technical%20Innovations%20%26%20Patient%20Support%20in%20Radiation%20Oncology
The American Journal of Preventive Cardiology,26666677,The%20American%20Journal%20of%20Preventive%20Cardiology
The Asian Journal of Shipping and Logistics,20925212,The%20Asian%20Journal%20of%20Shipping%20and%20Logistics
The Brazilian Journal of Infectious Diseases,14138670,The%20Brazilian%20Journal%20of%20Infectious%20Diseases
The Breast,09609776,The%20Breast
The Cell Surface,24682330,The%20Cell%20Surface
The Egyptian Journal of Remote Sensing and Space Sciences,11109823,The%20Egyptian%20Journal%20of%20Remote%20Sensing%20and%20Space%20Sciences
The Egyptian Rheumatologist,11101164,The%20Egyptian%20Rheumatologist
The Journal of Pediatrics: X,25900420,The%20Journal%20of%20Pediatrics%3A%20X
The Lancet Digital Health,25897500,The%20Lancet%20Digital%20Health
The Lancet Global Health,2214109X,The%20Lancet%20Global%20Health
The Lancet Planetary Health,25425196,The%20Lancet%20Planetary%20Health
The Lancet Public Health,24682667,The%20Lancet%20Public%20Health
Theoretical and Applied Mechanics Letters,20950349,Theoretical%20and%20Applied%20Mechanics%20Letters
Thrombosis Update,26665727,Thrombosis%20Update
Toxicology Reports,22147500,Toxicology%20Reports
Toxicon: X,25901710,Toxicon%3A%20X
Translational Oncology,19365233,Translational%20Oncology
Translational Research in Anatomy,2214854X,Translational%20Research%20in%20Anatomy
Transplantation Reports,24519596,Transplantation%20Reports
Transportation Engineering,2666691X,Transportation%20Engineering
Transportation Research Interdisciplinary Perspectives,25901982,Transportation%20Research%20Interdisciplinary%20Perspectives
Trauma Case Reports,23526440,Trauma%20Case%20Reports
"Trees, Forests and People",26667193,Trees%2C%20Forests%20and%20People
Urology Case Reports,22144420,Urology%20Case%20Reports
Urology Video Journal,25900897,Urology%20Video%20Journal
Vaccine: X,25901362,Vaccine%3A%20X
Veterinary and Animal Science,2451943X,Veterinary%20and%20Animal%20Science
Veterinary Parasitology: X,25901389,Veterinary%20Parasitology%3A%20X
VideoGIE,24684481,VideoGIE
Visual Informatics,2468502X,Visual%20Informatics
Water Research X,25899147,Water%20Research%20X
Water Resources and Industry,22123717,Water%20Resources%20and%20Industry
Water Science and Engineering,16742370,Water%20Science%20and%20Engineering
Weather and Climate Extremes,22120947,Weather%20and%20Climate%20Extremes
"Wellbeing, Space and Society",26665581,Wellbeing%2C%20Space%20and%20Society
Wine Economics and Policy,22129774,Wine%20Economics%20and%20Policy
World Allergy Organization Journal,19394551,World%20Allergy%20Organization%20Journal
World Neurosurgery: X,25901397,World%20Neurosurgery%3A%20X
