Title,ISSN,BUS,HUM,LAW,MED,NSEG,SSDG
Climate Risk Management,22120963,NA,NA,NA,NA,1,1
Climate Services,24058807,NA,NA,NA,NA,1,NA
Clinica Chimica Acta,00098981,NA,NA,NA,1,1,NA
Clínica e Investigación en Arteriosclerosis,02149168,NA,NA,NA,1,1,NA
Clínica e Investigación en arteriosclerosis (English edition),25299123,NA,NA,NA,1,NA,NA
Clínica e Investigación en Ginecología y Obstetricia,0210573X,NA,NA,NA,1,1,NA
Clinical and Translational Radiation Oncology,24056308,NA,NA,NA,1,1,NA
Clinical Biochemistry,00099120,NA,NA,NA,1,1,NA
Clinical Biomechanics,02680033,NA,NA,NA,1,NA,NA
Clinical Breast Cancer,15268209,NA,NA,NA,1,NA,NA
Clinical Colorectal Cancer,15330028,NA,NA,NA,1,NA,NA
Clinical eHealth,25889141,NA,NA,NA,1,NA,NA
Clinical Epidemiology and Global Health,22133984,NA,NA,NA,1,NA,NA
Clinical Gastroenterology and Hepatology,15423565,NA,NA,NA,1,NA,NA
Clinical Genitourinary Cancer,15587673,NA,NA,NA,1,NA,NA
Clinical Imaging,08997071,NA,NA,NA,1,NA,NA
Clinical Immunology,15216616,NA,NA,NA,1,NA,NA
Clinical Lung Cancer,15257304,NA,NA,NA,1,NA,NA
Clinical Lymphoma Myeloma and Leukemia,21522650,NA,NA,NA,1,NA,NA
Clinical Mass Spectrometry,23769998,NA,NA,NA,NA,1,NA
Clinical Microbiology and Infection,1198743X,NA,NA,NA,1,1,NA
Clinical Microbiology Newsletter,01964399,NA,NA,NA,1,1,NA
Clinical Neurology and Neurosurgery,03038467,NA,NA,NA,1,NA,NA
Clinical Neurophysiology,13882457,NA,NA,NA,1,NA,NA
Clinical Neurophysiology Practice,2467981X,NA,NA,NA,1,NA,NA
Clinical Nutrition,02615614,NA,NA,NA,1,NA,NA
Clinical Nutrition ESPEN,24054577,NA,NA,NA,1,NA,NA
Clinical Nutrition Experimental,23529393,NA,NA,NA,1,NA,NA
Clinical Oncology,09366555,NA,NA,NA,1,NA,NA
Clinical Pediatric Emergency Medicine,15228401,NA,NA,NA,1,NA,NA
Clinical Plasma Medicine,22128166,NA,NA,NA,1,1,NA
Clinical Psychology Review,02727358,NA,NA,NA,1,1,NA
Clinical Radiology,00099260,NA,NA,NA,1,NA,NA
Clinical Simulation in Nursing,18761399,NA,NA,NA,1,NA,NA
Clinical Therapeutics,01492918,NA,NA,NA,1,NA,NA
Clinics and Research in Hepatology and Gastroenterology,22107401,NA,NA,NA,1,NA,NA
Clinics in Chest Medicine,02725231,NA,NA,NA,1,NA,NA
Clinics in Dermatology,0738081X,NA,NA,NA,1,NA,NA
Clinics in Geriatric Medicine,07490690,NA,NA,NA,1,NA,NA
Clinics in Laboratory Medicine,02722712,NA,NA,NA,1,NA,NA
Clinics in Liver Disease,10893261,NA,NA,NA,1,NA,NA
Clinics in Perinatology,00955108,NA,NA,NA,1,NA,NA
Clinics in Plastic Surgery,00941298,NA,NA,NA,1,NA,NA
Clinics in Podiatric Medicine and Surgery,08918422,NA,NA,NA,1,NA,NA
Clinics in Sports Medicine,02785919,NA,NA,NA,1,NA,NA
Coastal Engineering,03783839,NA,NA,NA,NA,1,NA
Cognition,00100277,NA,1,NA,NA,1,1
Cognitive and Behavioral Practice,10777229,NA,NA,NA,1,1,NA
Cognitive Development,08852014,NA,NA,NA,NA,1,NA
Cognitive Psychology,00100285,NA,NA,NA,NA,1,1
Cognitive Systems Research,13890417,NA,NA,NA,NA,1,NA
Cold Regions Science and Technology,0165232X,NA,NA,NA,NA,1,NA
Collegian,13227696,NA,NA,NA,1,NA,NA
Colloid and Interface Science Communications,22150382,NA,NA,NA,NA,1,NA
Colloids and Surfaces A: Physicochemical and Engineering Aspects,09277757,NA,NA,NA,NA,1,NA
Colloids and Surfaces B: Biointerfaces,09277765,NA,NA,NA,NA,1,NA
Combustion and Flame,00102180,NA,NA,NA,NA,1,NA
Communications in Nonlinear Science and Numerical Simulation,10075704,NA,NA,NA,NA,1,NA
Communist and Post-Communist Studies,0967067X,NA,NA,NA,NA,NA,1
Comparative Biochemistry and Physiology Part A: Molecular & Integrative Physiology,10956433,NA,NA,NA,NA,1,NA
Comparative Biochemistry and Physiology Part B: Biochemistry and Molecular Biology,10964959,NA,NA,NA,NA,1,NA
Comparative Biochemistry and Physiology Part C: Toxicology & Pharmacology,15320456,NA,NA,NA,1,1,NA
Comparative Biochemistry and Physiology Part D: Genomics and Proteomics,1744117X,NA,NA,NA,NA,1,NA
"Comparative Immunology, Microbiology and Infectious Diseases",01479571,NA,NA,NA,1,1,NA
Complementary Therapies in Clinical Practice,17443881,NA,NA,NA,1,NA,NA
Complementary Therapies in Medicine,09652299,NA,NA,NA,1,NA,NA
Composite Structures,02638223,NA,NA,NA,NA,1,NA
Composites Communications,24522139,NA,NA,NA,NA,1,NA
Composites Part A: Applied Science and Manufacturing,1359835X,NA,NA,NA,NA,1,NA
Composites Part B: Engineering,13598368,NA,NA,NA,NA,1,NA
Composites Science and Technology,02663538,NA,NA,NA,NA,1,NA
Comprehensive Psychiatry,0010440X,NA,NA,NA,1,1,NA
Comptes Rendus Biologies,16310691,NA,NA,NA,NA,1,NA
Comptes Rendus Chimie,16310748,NA,NA,NA,NA,1,NA
Comptes Rendus Geoscience,16310713,NA,NA,NA,NA,1,NA
Comptes Rendus Mathematique,1631073X,NA,NA,NA,NA,1,NA
Comptes Rendus Mecanique,16310721,NA,NA,NA,NA,1,NA
Comptes Rendus Palevol,16310683,NA,NA,NA,NA,1,NA
Comptes Rendus Physique,16310705,NA,NA,NA,NA,1,NA
Computational and Structural Biotechnology Journal,20010370,NA,NA,NA,NA,1,NA
Computational and Theoretical Chemistry,2210271X,NA,NA,NA,NA,1,NA
Computational Biology and Chemistry,14769271,NA,NA,NA,NA,1,NA
Computational Condensed Matter,23522143,NA,NA,NA,NA,1,NA
Computational Geometry,09257721,NA,NA,NA,NA,1,NA
Computational Materials Science,09270256,NA,NA,NA,NA,1,NA
Computational Statistics & Data Analysis,01679473,NA,NA,NA,NA,1,NA
Computational Toxicology,24681113,NA,NA,NA,1,1,NA
Computer Aided Geometric Design,01678396,NA,NA,NA,NA,1,NA
Computer Communications,01403664,NA,NA,NA,NA,1,NA
Computer Fraud & Security,13613723,NA,NA,NA,NA,1,NA
Computer Law & Security Review,02673649,NA,NA,1,NA,NA,NA
Computer Methods and Programs in Biomedicine,01692607,NA,NA,NA,1,1,NA
Computer Methods in Applied Mechanics and Engineering,00457825,NA,NA,NA,NA,1,NA
Computer Networks,13891286,NA,NA,NA,NA,1,NA
Computer Physics Communications,00104655,NA,NA,NA,NA,1,NA
Computer Science Review,15740137,NA,NA,NA,NA,1,NA
Computer Speech & Language,08852308,NA,1,NA,NA,1,1
Computer Standards & Interfaces,09205489,NA,NA,NA,NA,1,NA
Computer Vision and Image Understanding,10773142,NA,NA,NA,NA,1,NA
Computer-Aided Design,00104485,NA,NA,NA,NA,1,NA
Computerized Medical Imaging and Graphics,08956111,NA,NA,NA,1,1,NA
Computers & Chemical Engineering,00981354,NA,NA,NA,NA,1,NA
Computers & Education,03601315,NA,NA,NA,NA,NA,1
Computers & Electrical Engineering,00457906,NA,NA,NA,NA,1,NA
Computers & Fluids,00457930,NA,NA,NA,NA,1,NA
Computers & Geosciences,00983004,NA,NA,NA,NA,1,NA
Computers & Graphics,00978493,NA,NA,NA,NA,1,NA
Computers & Industrial Engineering,03608352,NA,NA,NA,NA,1,NA
Computers & Mathematics with Applications,08981221,NA,NA,NA,NA,1,NA
Computers & Operations Research,03050548,1,NA,NA,NA,1,NA
Computers & Security,01674048,NA,NA,NA,NA,1,NA
Computers & Structures,00457949,NA,NA,NA,NA,1,NA
Computers and Composition,87554615,NA,1,NA,NA,NA,1
Computers and Electronics in Agriculture,01681699,NA,NA,NA,1,1,NA
Computers and Geotechnics,0266352X,NA,NA,NA,NA,1,NA
Computers in Biology and Medicine,00104825,NA,NA,NA,1,1,NA
Computers in Human Behavior,07475632,NA,NA,NA,NA,1,1
Computers in Industry,01663615,NA,NA,NA,NA,1,NA
"Computers, Environment and Urban Systems",01989715,NA,NA,NA,NA,1,1
Consciousness and Cognition,10538100,NA,NA,NA,NA,1,NA
Construction and Building Materials,09500618,NA,NA,NA,NA,1,NA
Contact Lens and Anterior Eye,13670484,NA,NA,NA,1,NA,NA
Contemporary Clinical Trials,15517144,NA,NA,NA,1,NA,NA
Contemporary Clinical Trials Communications,24518654,NA,NA,NA,1,NA,NA
Contemporary Educational Psychology,0361476X,NA,NA,NA,NA,1,1
Continental Shelf Research,02784343,NA,NA,NA,NA,1,NA
Contraception,00107824,NA,NA,NA,1,NA,NA
Contraception: X,25901516,NA,NA,NA,1,NA,NA
Control Engineering Practice,09670661,NA,NA,NA,NA,1,NA
Coordination Chemistry Reviews,00108545,NA,NA,NA,NA,1,NA
Corrosion Science,0010938X,NA,NA,NA,NA,1,NA
Cortex,00109452,NA,NA,NA,1,1,NA
Cretaceous Research,01956671,NA,NA,NA,NA,1,NA
Critical Care Clinics,07490704,NA,NA,NA,1,NA,NA
Critical Care Nursing Clinics of North America,08995885,NA,NA,NA,1,NA,NA
Critical Perspectives on Accounting,10452354,1,NA,NA,NA,1,1
Critical Reviews in Oncology/Hematology,10408428,NA,NA,NA,1,NA,NA
Crop Protection,02612194,NA,NA,NA,NA,1,NA
Cryobiology,00112240,NA,NA,NA,1,1,NA
Cryogenics,00112275,NA,NA,NA,NA,1,NA
Current Applied Physics,15671739,NA,NA,NA,NA,1,NA
Current Biology,09609822,NA,NA,NA,1,1,NA
Current Medicine Research and Practice,23520817,NA,NA,NA,1,NA,NA
Current Opinion in Behavioral Sciences,23521546,NA,NA,NA,NA,1,NA
Current Opinion in Biomedical Engineering,24684511,NA,NA,NA,1,1,NA
Current Opinion in Biotechnology,09581669,NA,NA,NA,NA,1,NA
Current Opinion in Cell Biology,09550674,NA,NA,NA,NA,1,NA
Current Opinion in Chemical Biology,13675931,NA,NA,NA,1,1,NA
Current Opinion in Chemical Engineering,22113398,NA,NA,NA,NA,1,NA
Current Opinion in Colloid & Interface Science,13590294,NA,NA,NA,NA,1,NA
Current Opinion in Electrochemistry,24519103,NA,NA,NA,NA,1,NA
Current Opinion in Endocrine and Metabolic Research,24519650,NA,NA,NA,1,1,NA
Current Opinion in Environmental Science & Health,24685844,NA,NA,NA,NA,1,NA
Current Opinion in Environmental Sustainability,18773435,NA,NA,NA,NA,1,1
Current Opinion in Food Science,22147993,NA,NA,NA,NA,1,NA
Current Opinion in Genetics & Development,0959437X,NA,NA,NA,NA,1,NA
Current Opinion in Green and Sustainable Chemistry,24522236,NA,NA,NA,NA,1,NA
Current Opinion in Immunology,09527915,NA,NA,NA,1,NA,NA
Current Opinion in Insect Science,22145745,NA,NA,NA,NA,1,NA
Current Opinion in Microbiology,13695274,NA,NA,NA,1,1,NA
Current Opinion in Neurobiology,09594388,NA,NA,NA,1,NA,NA
Current Opinion in Pharmacology,14714892,NA,NA,NA,1,1,NA
Current Opinion in Physiology,24688673,NA,NA,NA,NA,1,NA
Current Opinion in Plant Biology,13695266,NA,NA,NA,NA,1,NA
Current Opinion in Psychology,2352250X,NA,NA,NA,NA,1,NA
Current Opinion in Solid State and Materials Science,13590286,NA,NA,NA,NA,1,NA
Current Opinion in Structural Biology,0959440X,NA,NA,NA,NA,1,NA
Current Opinion in Systems Biology,24523100,NA,NA,NA,NA,1,NA
Current Opinion in Toxicology,24682020,NA,NA,NA,1,1,NA
Current Opinion in Virology,18796257,NA,NA,NA,1,NA,NA
Current Plant Biology,22146628,NA,NA,NA,NA,1,NA
Current Problems in Cancer,01470272,NA,NA,NA,1,NA,NA
Current Problems in Cardiology,01462806,NA,NA,NA,1,NA,NA
Current Problems in Diagnostic Radiology,03630188,NA,NA,NA,1,NA,NA
Current Problems in Pediatric and Adolescent Health Care,15385442,NA,NA,NA,1,NA,NA
Current Problems in Surgery,00113840,NA,NA,NA,1,NA,NA
Current Research in Translational Medicine,24523186,NA,NA,NA,1,NA,NA
Current Therapeutic Research,0011393X,NA,NA,NA,1,NA,NA
Currents in Pharmacy Teaching and Learning,18771297,NA,NA,NA,1,NA,1
Cytokine,10434666,NA,NA,NA,1,1,NA
Cytokine & Growth Factor Reviews,13596101,NA,NA,NA,1,1,NA
Cytokine: X,25901532,NA,NA,NA,1,NA,NA
Cytotherapy,14653249,NA,NA,NA,1,1,NA
Das Neurophysiologie-Labor,14394847,NA,NA,NA,1,NA,NA
Data & Knowledge Engineering,0169023X,NA,NA,NA,NA,1,NA
Data in Brief,23523409,NA,NA,NA,NA,1,NA
Decision Support Systems,01679236,1,NA,NA,NA,1,NA
Deep Sea Research Part I: Oceanographic Research Papers,09670637,NA,NA,NA,NA,1,NA
Deep Sea Research Part II: Topical Studies in Oceanography,09670645,NA,NA,NA,NA,1,NA
Defence Technology,22149147,NA,NA,NA,NA,1,NA
Dendrochronologia,11257865,NA,NA,NA,NA,1,1
Dental Abstracts,00118486,NA,NA,NA,1,NA,NA
Dental Clinics of North America,00118532,NA,NA,NA,1,NA,NA
Dental Materials,01095641,NA,NA,NA,1,1,NA
Dermatologic Clinics,07338635,NA,NA,NA,1,NA,NA
Desalination,00119164,NA,NA,NA,NA,1,NA
Design Studies,0142694X,NA,NA,NA,NA,1,NA
Development Engineering,23527285,NA,NA,NA,NA,1,1
Developmental & Comparative Immunology,0145305X,NA,NA,NA,1,1,NA
Developmental Biology,00121606,NA,NA,NA,1,1,NA
Developmental Cell,15345807,NA,NA,NA,NA,1,NA
Developmental Cognitive Neuroscience,18789293,NA,NA,NA,1,1,NA
Developmental Review,02732297,NA,NA,NA,NA,1,1
Diabetes & Metabolic Syndrome: Clinical Research and Reviews,18714021,NA,NA,NA,1,NA,NA
Diabetes & Metabolism,12623636,NA,NA,NA,1,NA,NA
Diabetes Research and Clinical Practice,01688227,NA,NA,NA,1,1,NA
Diagnostic and Interventional Imaging,22115684,NA,NA,NA,1,NA,NA
Diagnostic Histopathology,17562317,NA,NA,NA,1,NA,NA
Diagnostic Microbiology and Infectious Disease,07328893,NA,NA,NA,1,1,NA
Diamond and Related Materials,09259635,NA,NA,NA,NA,1,NA
Differential Geometry and its Applications,09262245,NA,NA,NA,NA,1,NA
Differentiation,03014681,NA,NA,NA,1,1,NA
Digestive and Liver Disease,15908658,NA,NA,NA,1,NA,NA
Digestive and Liver Disease Supplements,15945804,NA,NA,NA,1,NA,NA
Digital Applications in Archaeology and Cultural Heritage,22120548,NA,1,NA,NA,1,1
Digital Chinese Medicine,25893777,NA,NA,NA,1,NA,NA
Digital Communications and Networks,23528648,NA,NA,NA,NA,1,NA
Digital Investigation,17422876,1,NA,NA,NA,1,NA
Digital Signal Processing,10512004,NA,NA,NA,NA,1,NA
Disability and Health Journal,19366574,NA,NA,NA,1,NA,NA
"Discourse, Context & Media",22116958,NA,1,NA,NA,NA,1
Discrete Applied Mathematics,0166218X,NA,NA,NA,NA,1,NA
Discrete Mathematics,0012365X,NA,NA,NA,NA,1,NA
Discrete Optimization,15725286,NA,NA,NA,NA,1,NA
Disease-a-Month,00115029,NA,NA,NA,1,NA,NA
Displays,01419382,NA,NA,NA,NA,1,1
DNA Repair,15687864,NA,NA,NA,1,1,NA
Domestic Animal Endocrinology,07397240,NA,NA,NA,1,1,NA
Douleurs : Évaluation – Diagnostic – Traitement,16245687,NA,NA,NA,1,1,NA
"Droit, Déontologie & Soin",16296583,NA,NA,1,NA,NA,1
Drug and Alcohol Dependence,03768716,NA,NA,NA,1,1,1
Drug Discovery Today,13596446,NA,NA,NA,1,1,NA
Drug Discovery Today: Disease Models,17406757,NA,NA,NA,1,1,NA
Drug Discovery Today: Technologies,17406749,NA,NA,NA,1,1,NA
Drug Metabolism and Pharmacokinetics,13474367,NA,NA,NA,1,NA,NA
Drug Resistance Updates,13687646,NA,NA,NA,1,1,NA
Dyes and Pigments,01437208,NA,NA,NA,NA,1,NA
Dynamics of Atmospheres and Oceans,03770265,NA,NA,NA,NA,1,NA
Early Childhood Research Quarterly,08852006,NA,NA,NA,NA,1,1
Early Human Development,03783782,NA,NA,NA,1,NA,NA
Earth and Planetary Science Letters,0012821X,NA,NA,NA,NA,1,NA
Earth System Governance,25898116,NA,NA,NA,NA,1,1
Earth-Science Reviews,00128252,NA,NA,NA,NA,1,NA
Eating Behaviors,14710153,NA,NA,NA,1,1,NA
EBioMedicine,23523964,NA,NA,NA,1,1,NA
EClinicalMedicine,25895370,NA,NA,NA,1,NA,NA
Ecohydrology & Hydrobiology,16423593,NA,NA,NA,NA,1,NA
Ecological Complexity,1476945X,NA,NA,NA,NA,1,NA
Ecological Economics,09218009,NA,NA,NA,NA,1,1
Ecological Engineering,09258574,NA,NA,NA,NA,1,NA
Ecological Engineering: X,25902903,NA,NA,NA,NA,1,NA
Ecological Genetics and Genomics,24059854,NA,NA,NA,NA,1,NA
Ecological Indicators,1470160X,NA,NA,NA,NA,1,NA
Ecological Informatics,15749541,NA,NA,NA,NA,1,NA
Ecological Modelling,03043800,NA,NA,NA,NA,1,NA
Econometrics and Statistics,24523062,NA,NA,NA,NA,1,1
EconomiA,15177580,1,NA,NA,NA,NA,NA
Economic Analysis and Policy,03135926,1,NA,NA,NA,NA,1
Economic Modelling,02649993,NA,NA,NA,NA,NA,1
Economic Systems,09393625,NA,NA,NA,NA,NA,1
Economics & Human Biology,1570677X,NA,NA,NA,1,1,1
Economics Letters,01651765,1,NA,NA,NA,NA,1
Economics of Education Review,02727757,NA,NA,NA,NA,NA,1
Economics of Transportation,22120122,1,NA,NA,NA,NA,1
Ecosystem Services,22120416,1,NA,NA,NA,1,1
Ecotoxicology and Environmental Safety,01476513,NA,NA,NA,NA,1,NA
Educación Médica,15751813,NA,NA,NA,1,NA,NA
Education for Chemical Engineers,17497728,NA,NA,NA,NA,1,1
Educational Research Review,1747938X,NA,NA,NA,NA,1,1
Egyptian Informatics Journal,11108665,NA,NA,NA,NA,1,NA
Egyptian Journal of Petroleum,11100621,NA,NA,NA,NA,1,NA
EJVES Short Reports,24056553,NA,NA,NA,1,NA,NA
Electoral Studies,02613794,NA,NA,NA,NA,NA,1
Electric Power Systems Research,03787796,NA,NA,NA,NA,1,NA
Electrochemistry Communications,13882481,NA,NA,NA,NA,1,NA
Electrochimica Acta,00134686,NA,NA,NA,NA,1,NA
Electronic Commerce Research and Applications,15674223,1,NA,NA,NA,1,NA
Electronic Journal of Biotechnology,07173458,NA,NA,NA,NA,1,NA
Electronic Notes in Discrete Mathematics,15710653,NA,NA,NA,NA,1,NA
Electronic Notes in Theoretical Computer Science,15710661,NA,NA,NA,NA,1,NA
EMC - AKOS - Trattato di Medicina,16347358,NA,NA,NA,1,NA,NA
EMC - Anestesia-Reanimación,12804703,NA,NA,NA,1,NA,NA
EMC - Anestesia-Rianimazione,12830771,NA,NA,NA,1,NA,NA
EMC - Aparato Locomotor,1286935X,NA,NA,NA,1,NA,NA
EMC - Cirugía General,16347080,NA,NA,NA,1,NA,NA
EMC - Cirugía Otorrinolaringológica y Cervicofacial,16352505,NA,NA,NA,1,NA,NA
EMC - Cirugía Plástica Reparadora y Estética,16342143,NA,NA,NA,1,NA,NA
EMC - Cosmetologia Medica e Medicina degli Inestetismi Cutanei,17760313,NA,NA,NA,1,NA,NA
EMC - Dermatología,17612896,NA,NA,NA,1,NA,NA
EMC - Ginecología-Obstetricia,1283081X,NA,NA,NA,1,NA,NA
EMC - Kinesiterapia - Medicina Fisica,12932965,NA,NA,NA,1,NA,NA
EMC - Medicina Riabilitativa,1283078X,NA,NA,NA,1,NA,NA
EMC - Neurologia,16347072,NA,NA,NA,1,NA,NA
EMC - Otorinolaringoiatria,1639870X,NA,NA,NA,1,NA,NA
EMC - Otorrinolaringología,16323475,NA,NA,NA,1,NA,NA
EMC - Pediatría,12451789,NA,NA,NA,1,NA,NA
EMC - Podología,1762827X,NA,NA,NA,1,NA,NA
EMC - Técnicas Quirúrgicas - Aparato Digestivo,12829129,NA,NA,NA,1,NA,NA
EMC - Técnicas Quirúrgicas - Ortopedia y Traumatología,2211033X,NA,NA,NA,1,NA,NA
EMC - Tecniche Chirurgiche - Chirurgia Generale,16365577,NA,NA,NA,1,NA,NA
EMC - Tecniche Chirurgiche - Chirurgia ORL e Cervico-Facciale,12923036,NA,NA,NA,1,NA,NA
EMC - Tecniche Chirurgiche - Chirurgia Ortopedica,22110801,NA,NA,NA,1,NA,NA
"EMC - Tecniche Chirurgiche - Chirurgia Plastica, Ricostruttiva ed Estetica",17696704,NA,NA,NA,1,NA,NA
EMC - Tecniche Chirurgiche Addominale,12830798,NA,NA,NA,1,NA,NA
EMC - Tecniche Chirurgiche Torace,12883336,NA,NA,NA,1,NA,NA
EMC - Tecniche Chirurgiche Vascolare,12830801,NA,NA,NA,1,NA,NA
EMC - Tratado de Medicina,16365410,NA,NA,NA,1,NA,NA
EMC - Urgenze,12869341,NA,NA,NA,1,NA,NA
EMC - Urología,17613310,NA,NA,NA,1,NA,NA
Emergency Medicine Clinics of North America,07338627,NA,NA,NA,1,NA,NA
Emerging Contaminants,24056650,NA,NA,NA,NA,1,NA
Emerging Markets Review,15660141,1,NA,NA,NA,NA,1
"Emotion, Space and Society",17554586,NA,NA,NA,NA,1,1
Endeavour,01609327,NA,1,NA,NA,NA,NA
"Endocrinología, Diabetes y Nutrición",25300164,NA,NA,NA,1,1,NA
"Endocrinología, Diabetes y Nutrición (English ed.)",25300180,NA,NA,NA,1,NA,NA
Endocrinology and Metabolism Clinics of North America,08898529,NA,NA,NA,1,NA,NA
Energy,03605442,NA,NA,NA,NA,1,NA
Energy and Buildings,03787788,NA,NA,NA,NA,1,NA
Energy Conversion and Management,01968904,NA,NA,NA,NA,1,NA
Energy Conversion and Management: X,25901745,NA,NA,NA,NA,1,NA
Energy Economics,01409883,NA,NA,NA,NA,1,1
Energy for Sustainable Development,09730826,NA,NA,NA,NA,1,1
Energy Policy,03014215,1,NA,NA,NA,1,1
Energy Procedia,18766102,NA,NA,NA,NA,1,NA
Energy Reports,23524847,NA,NA,NA,NA,1,NA
Energy Research & Social Science,22146296,NA,NA,NA,NA,1,1
Energy Storage Materials,24058297,NA,NA,NA,NA,1,NA
Energy Strategy Reviews,2211467X,1,NA,NA,NA,1,NA
eNeurologicalSci,24056502,NA,NA,NA,1,NA,NA
Enfermedades Infecciosas y Microbiología Clínica,0213005X,NA,NA,NA,1,1,NA
Enfermedades infecciosas y microbiologia clinica (English ed.),2529993X,NA,NA,NA,1,1,NA
Enfermería Clínica,11308621,NA,NA,NA,1,NA,NA
Enfermería Clínica (English Edition),24451479,NA,NA,NA,1,NA,NA
Enfermería Intensiva,11302399,NA,NA,NA,1,NA,NA
Enfermería Intensiva (English ed.),25299840,NA,NA,NA,1,NA,NA
Engineering,20958099,NA,NA,NA,NA,1,NA
Engineering Analysis with Boundary Elements,09557997,NA,NA,NA,NA,1,NA
Engineering Applications of Artificial Intelligence,09521976,NA,NA,NA,NA,1,NA
Engineering Failure Analysis,13506307,NA,NA,NA,NA,1,NA
Engineering Fracture Mechanics,00137944,NA,NA,NA,NA,1,NA
Engineering Geology,00137952,NA,NA,NA,NA,1,NA
"Engineering in Agriculture, Environment and Food",18818366,NA,NA,NA,NA,1,NA
"Engineering Science and Technology, an International Journal",22150986,NA,NA,NA,NA,1,NA
Engineering Structures,01410296,NA,NA,NA,NA,1,NA
English for Specific Purposes,08894906,NA,1,NA,NA,NA,1
Entertainment Computing,18759521,NA,NA,NA,NA,1,NA
Environment International,01604120,NA,NA,NA,NA,1,NA
Environmental and Experimental Botany,00988472,NA,NA,NA,NA,1,NA
Environmental Development,22114645,NA,NA,NA,NA,1,NA
Environmental Impact Assessment Review,01959255,NA,NA,NA,NA,1,1
Environmental Innovation and Societal Transitions,22104224,NA,NA,NA,NA,1,1
Environmental Modelling & Software,13648152,NA,NA,NA,NA,1,NA
"Environmental Nanotechnology, Monitoring & Management",22151532,NA,NA,NA,NA,1,NA
Environmental Pollution,02697491,NA,NA,NA,NA,1,NA
Environmental Research,00139351,NA,NA,NA,NA,1,NA
Environmental Science & Policy,14629011,NA,NA,NA,NA,1,1
Environmental Technology & Innovation,23521864,NA,NA,NA,NA,1,NA
Environmental Toxicology and Pharmacology,13826689,NA,NA,NA,1,1,NA
Enzyme and Microbial Technology,01410229,NA,NA,NA,NA,1,NA
Epidemics,17554365,NA,NA,NA,1,1,NA
Epilepsy & Behavior,15255050,NA,NA,NA,1,1,NA
Epilepsy & Behavior Case Reports,22133232,NA,NA,NA,1,1,NA
Epilepsy Research,09201211,NA,NA,NA,1,NA,NA
"Estuarine, Coastal and Shelf Science",02727714,NA,NA,NA,NA,1,NA
"Ethics, Medicine and Public Health",23525525,NA,NA,1,1,NA,NA
Éthique & Santé,17654629,NA,NA,NA,1,NA,1
EuPA Open Proteomics,22129685,NA,NA,NA,1,1,NA
"European Annals of Otorhinolaryngology, Head and Neck Diseases",18797296,NA,NA,NA,1,NA,NA
European Economic Review,00142921,1,NA,NA,NA,NA,1
European Journal of Agronomy,11610301,NA,NA,NA,NA,1,NA
European Journal of Cancer,09598049,NA,NA,NA,1,1,NA
European Journal of Cancer Supplements,13596349,NA,NA,NA,1,1,NA
European Journal of Cell Biology,01719335,NA,NA,NA,NA,1,NA
European Journal of Combinatorics,01956698,NA,NA,NA,NA,1,NA
European Journal of Control,09473580,NA,NA,NA,NA,1,NA
European Journal of Integrative Medicine,18763820,NA,NA,NA,1,NA,NA
European Journal of Internal Medicine,09536205,NA,NA,NA,1,NA,NA
European Journal of Mechanics - A/Solids,09977538,NA,NA,NA,NA,1,NA
European Journal of Mechanics - B/Fluids,09977546,NA,NA,NA,NA,1,NA
European Journal of Medical Genetics,17697212,NA,NA,NA,1,1,NA
European Journal of Medicinal Chemistry,02235234,NA,NA,NA,1,1,NA
European Journal of Obstetrics & Gynecology and Reproductive Biology,03012115,NA,NA,NA,1,NA,NA
European Journal of Obstetrics & Gynecology and Reproductive Biology: X,25901613,NA,NA,NA,1,NA,NA
European Journal of Oncology Nursing,14623889,NA,NA,NA,1,NA,NA
European Journal of Operational Research,03772217,NA,NA,NA,NA,1,NA
European Journal of Paediatric Neurology,10903798,NA,NA,NA,1,NA,NA
European Journal of Pharmaceutical Sciences,09280987,NA,NA,NA,1,NA,NA
European Journal of Pharmaceutics and Biopharmaceutics,09396411,NA,NA,NA,1,1,NA
European Journal of Pharmacology,00142999,NA,NA,NA,1,1,NA
European Journal of Political Economy,01762680,NA,NA,NA,NA,NA,1
European Journal of Protistology,09324739,NA,NA,NA,1,1,NA
European Journal of Radiology,0720048X,NA,NA,NA,1,NA,NA
European Journal of Radiology Open,23520477,NA,NA,NA,1,NA,NA
European Journal of Soil Biology,11645563,NA,NA,NA,NA,1,NA
European Journal of Surgical Oncology,07487983,NA,NA,NA,1,NA,NA
European Journal of Trauma & Dissociation,24687499,NA,NA,NA,NA,1,NA
European Journal of Vascular and Endovascular Surgery,10785884,NA,NA,NA,1,NA,NA
European Management Journal,02632373,1,NA,NA,NA,NA,NA
European Neuropsychopharmacology,0924977X,NA,NA,NA,1,1,NA
European Polymer Journal,00143057,NA,NA,NA,NA,1,NA
European Psychiatry,09249338,NA,NA,NA,1,NA,NA
European Research on Management and Business Economics,24448834,1,NA,NA,NA,NA,NA
European Urology,03022838,NA,NA,NA,1,NA,NA
European Urology Focus,24054569,NA,NA,NA,1,NA,NA
European Urology Oncology,25889311,NA,NA,NA,1,NA,NA
European Urology Supplements,15699056,NA,NA,NA,1,NA,NA
Evaluation and Program Planning,01497189,1,NA,NA,1,1,1
Evolution and Human Behavior,10905138,NA,NA,NA,1,1,NA
