Title,ISSN,Type,EncodedTitle
Ecosystem Services,22120416,Freedom,Ecosystem%20Services
Ecotoxicology and Environmental Safety,01476513,Freedom,Ecotoxicology%20and%20Environmental%20Safety
Education for Chemical Engineers,17497728,Freedom,Education%20for%20Chemical%20Engineers
Educational Research Review,1747938X,Freedom,Educational%20Research%20Review
Electric Power Systems Research,03787796,Freedom,Electric%20Power%20Systems%20Research
The Electricity Journal,10406190,Freedom,The%20Electricity%20Journal
Electronic Commerce Research and Applications,15674223,Freedom,Electronic%20Commerce%20Research%20and%20Applications
Emerging Markets Review,15660141,Freedom,Emerging%20Markets%20Review
"Emotion, Space and Society",17554586,Freedom,Emotion%2C%20Space%20and%20Society
"Endocrinología, Diabetes y Nutrición (English ed.)",25300180,Freedom,Endocrinolog%C3%ADa%2C%20Diabetes%20y%20Nutrici%C3%B3n%20%28English%20ed.%29
Energy and Buildings,03787788,Freedom,Energy%20and%20Buildings
Energy Conversion and Management,01968904,Freedom,Energy%20Conversion%20and%20Management
Energy Economics,01409883,Freedom,Energy%20Economics
Energy Research & Social Science,22146296,Freedom,Energy%20Research%20%26%20Social%20Science
Energy Storage Materials,24058297,Freedom,Energy%20Storage%20Materials
Energy for Sustainable Development,09730826,Freedom,Energy%20for%20Sustainable%20Development
Enfermedades infecciosas y microbiologia clinica (English ed.),2529993X,Freedom,Enfermedades%20infecciosas%20y%20microbiologia%20clinica%20%28English%20ed.%29
Enfermería Clínica (English Edition),24451479,Freedom,Enfermer%C3%ADa%20Cl%C3%ADnica%20%28English%20Edition%29
Enfermería Intensiva (English ed.),25299840,Freedom,Enfermer%C3%ADa%20Intensiva%20%28English%20ed.%29
Engineering Applications of Artificial Intelligence,09521976,Freedom,Engineering%20Applications%20of%20Artificial%20Intelligence
English for Specific Purposes,08894906,Freedom,English%20for%20Specific%20Purposes
Entertainment Computing,18759521,Freedom,Entertainment%20Computing
Environmental Development,22114645,Freedom,Environmental%20Development
Environmental Impact Assessment Review,01959255,Freedom,Environmental%20Impact%20Assessment%20Review
Environmental Innovation and Societal Transitions,22104224,Freedom,Environmental%20Innovation%20and%20Societal%20Transitions
"Environmental Nanotechnology, Monitoring & Management",22151532,Freedom,Environmental%20Nanotechnology%2C%20Monitoring%20%26%20Management
Environmental Science & Policy,14629011,Freedom,Environmental%20Science%20%26%20Policy
Environmental Technology & Innovation,23521864,Freedom,Environmental%20Technology%20%26%20Innovation
Environmental Toxicology and Pharmacology,13826689,Freedom,Environmental%20Toxicology%20and%20Pharmacology
Enzyme and Microbial Technology,01410229,Freedom,Enzyme%20and%20Microbial%20Technology
Epilepsy & Behavior,15255050,Freedom,Epilepsy%20%26%20Behavior
"Ethics, Medicine and Public Health",23525525,Freedom,Ethics%2C%20Medicine%20and%20Public%20Health
"European Annals of Otorhinolaryngology, Head and Neck Diseases",18797296,Freedom,European%20Annals%20of%20Otorhinolaryngology%2C%20Head%20and%20Neck%20Diseases
European Journal of Agronomy,11610301,Freedom,European%20Journal%20of%20Agronomy
European Journal of Control,09473580,Freedom,European%20Journal%20of%20Control
European Journal of Integrative Medicine,18763820,Freedom,European%20Journal%20of%20Integrative%20Medicine
European Journal of Internal Medicine,09536205,Freedom,European%20Journal%20of%20Internal%20Medicine
European Journal of Mechanics - A/Solids,09977538,Freedom,European%20Journal%20of%20Mechanics%20-%20A%2FSolids
European Journal of Mechanics - B/Fluids,09977546,Freedom,European%20Journal%20of%20Mechanics%20-%20B%2FFluids
European Journal of Medical Genetics,17697212,Freedom,European%20Journal%20of%20Medical%20Genetics
European Journal of Medicinal Chemistry,02235234,Freedom,European%20Journal%20of%20Medicinal%20Chemistry
European Journal of Obstetrics & Gynecology and Reproductive Biology,03012115,Freedom,European%20Journal%20of%20Obstetrics%20%26%20Gynecology%20and%20Reproductive%20Biology
European Journal of Oncology Nursing,14623889,Freedom,European%20Journal%20of%20Oncology%20Nursing
European Journal of Paediatric Neurology,10903798,Freedom,European%20Journal%20of%20Paediatric%20Neurology
European Journal of Pharmaceutical Sciences,09280987,Freedom,European%20Journal%20of%20Pharmaceutical%20Sciences
European Journal of Pharmaceutics and Biopharmaceutics,09396411,Freedom,European%20Journal%20of%20Pharmaceutics%20and%20Biopharmaceutics
European Journal of Pharmacology,00142999,Freedom,European%20Journal%20of%20Pharmacology
European Journal of Protistology,09324739,Freedom,European%20Journal%20of%20Protistology
The European Journal of Psychiatry,02136163,Freedom,The%20European%20Journal%20of%20Psychiatry
European Journal of Surgical Oncology,07487983,Freedom,European%20Journal%20of%20Surgical%20Oncology
European Journal of Trauma & Dissociation,24687499,Freedom,European%20Journal%20of%20Trauma%20%26%20Dissociation
European Management Journal,02632373,Freedom,European%20Management%20Journal
European Neuropsychopharmacology,0924977X,Freedom,European%20Neuropsychopharmacology
European Polymer Journal,00143057,Freedom,European%20Polymer%20Journal
European Psychiatry,09249338,Freedom,European%20Psychiatry
Evaluation and Program Planning,01497189,Freedom,Evaluation%20and%20Program%20Planning
L'Évolution Psychiatrique,00143855,Freedom,L%27%C3%89volution%20Psychiatrique
Experimental and Molecular Pathology,00144800,Freedom,Experimental%20and%20Molecular%20Pathology
Experimental Parasitology,00144894,Freedom,Experimental%20Parasitology
Expert Systems with Applications,09574174,Freedom,Expert%20Systems%20with%20Applications
EXPLORE,15508307,Freedom,EXPLORE
The Extractive Industries and Society,2214790X,Freedom,The%20Extractive%20Industries%20and%20Society
Extreme Mechanics Letters,23524316,Freedom,Extreme%20Mechanics%20Letters
Field Crops Research,03784290,Freedom,Field%20Crops%20Research
Field Mycology,14681641,Freedom,Field%20Mycology
Filtration + Separation,00151882,Freedom,Filtration%20%2B%20Separation
Finance Research Letters,15446123,Freedom,Finance%20Research%20Letters
Fire Safety Journal,03797112,Freedom,Fire%20Safety%20Journal
Fish & Shellfish Immunology,10504648,Freedom,Fish%20%26%20Shellfish%20Immunology
Fisheries Research,01657836,Freedom,Fisheries%20Research
Fitoterapia,0367326X,Freedom,Fitoterapia
FlatChem,24522627,Freedom,FlatChem
Flow Measurement and Instrumentation,09555986,Freedom,Flow%20Measurement%20and%20Instrumentation
Fluid Phase Equilibria,03783812,Freedom,Fluid%20Phase%20Equilibria
Focus on Catalysts,13514180,Freedom,Focus%20on%20Catalysts
Focus on Pigments,09696210,Freedom,Focus%20on%20Pigments
Focus on Powder Coatings,13645439,Freedom,Focus%20on%20Powder%20Coatings
Focus on Surfactants,13514210,Freedom,Focus%20on%20Surfactants
Food and Bioproducts Processing,09603085,Freedom,Food%20and%20Bioproducts%20Processing
Food Bioscience,22124292,Freedom,Food%20Bioscience
Food and Chemical Toxicology,02786915,Freedom,Food%20and%20Chemical%20Toxicology
Food Chemistry,03088146,Freedom,Food%20Chemistry
Food Control,09567135,Freedom,Food%20Control
Food Hydrocolloids,0268005X,Freedom,Food%20Hydrocolloids
Food Microbiology,07400020,Freedom,Food%20Microbiology
Food Packaging and Shelf Life,22142894,Freedom,Food%20Packaging%20and%20Shelf%20Life
Food Quality and Preference,09503293,Freedom,Food%20Quality%20and%20Preference
Food Research International,09639969,Freedom,Food%20Research%20International
Food Structure,22133291,Freedom,Food%20Structure
Food Webs,23522496,Freedom,Food%20Webs
The Foot,09582592,Freedom,The%20Foot
Foot and Ankle Surgery,12687731,Freedom,Foot%20and%20Ankle%20Surgery
Forensic Chemistry,24681709,Freedom,Forensic%20Chemistry
Forensic Science International,03790738,Freedom,Forensic%20Science%20International
Forensic Science International: Genetics,18724973,Freedom,Forensic%20Science%20International%3A%20Genetics
Forest Policy and Economics,13899341,Freedom,Forest%20Policy%20and%20Economics
Fuel,00162361,Freedom,Fuel
Fuel Cells Bulletin,14642859,Freedom,Fuel%20Cells%20Bulletin
Fuel and Energy Abstracts,01406701,Freedom,Fuel%20and%20Energy%20Abstracts
Fuel Processing Technology,03783820,Freedom,Fuel%20Processing%20Technology
Fungal Ecology,17545048,Freedom,Fungal%20Ecology
Fusion Engineering and Design,09203796,Freedom,Fusion%20Engineering%20and%20Design
Fuss & Sprunggelenk,16199987,Freedom,Fuss%20%26%20Sprunggelenk
Futures,00163287,Freedom,Futures
Gait & Posture,09666362,Freedom,Gait%20%26%20Posture
Gastroenterología y Hepatología (English Edition),24443824,Freedom,Gastroenterolog%C3%ADa%20y%20Hepatolog%C3%ADa%20%28English%20Edition%29
Gene Reports,24520144,Freedom,Gene%20Reports
General and Comparative Endocrinology,00166480,Freedom,General%20and%20Comparative%20Endocrinology
Geoderma Regional,23520094,Freedom,Geoderma%20Regional
Geoforum,00167185,Freedom,Geoforum
Geomechanics for Energy and the Environment,23523808,Freedom,Geomechanics%20for%20Energy%20and%20the%20Environment
Geotextiles and Geomembranes,02661144,Freedom,Geotextiles%20and%20Geomembranes
Global Finance Journal,10440283,Freedom,Global%20Finance%20Journal
Global Food Security,22119124,Freedom,Global%20Food%20Security
Global Heart,22118160,Freedom,Global%20Heart
Gondwana Research,1342937X,Freedom,Gondwana%20Research
Groundwater for Sustainable Development,2352801X,Freedom,Groundwater%20for%20Sustainable%20Development
Growth Hormone & IGF Research,10966374,Freedom,Growth%20Hormone%20%26%20IGF%20Research
Gynécologie Obstétrique Fertilité & Sénologie,24687189,Freedom,Gyn%C3%A9cologie%20Obst%C3%A9trique%20Fertilit%C3%A9%20%26%20S%C3%A9nologie
Habitat International,01973975,Freedom,Habitat%20International
Hand Surgery and Rehabilitation,24681229,Freedom,Hand%20Surgery%20and%20Rehabilitation
Harmful Algae,15689883,Freedom,Harmful%20Algae
Health Policy and Technology,22118837,Freedom,Health%20Policy%20and%20Technology
Healthcare,22130764,Freedom,Healthcare
Hearing Research,03785955,Freedom,Hearing%20Research
"Heart, Lung and Circulation",14439506,Freedom,Heart%2C%20Lung%20and%20Circulation
Hepatobiliary & Pancreatic Diseases International,14993872,Freedom,Hepatobiliary%20%26%20Pancreatic%20Diseases%20International
High Energy Density Physics,15741818,Freedom,High%20Energy%20Density%20Physics
HOMO,0018442X,Freedom,HOMO
Human Movement Science,01679457,Freedom,Human%20Movement%20Science
Human Resource Management Review,10534822,Freedom,Human%20Resource%20Management%20Review
Hydrometallurgy,0304386X,Freedom,Hydrometallurgy
IFAC Journal of Systems and Control,24686018,Freedom,IFAC%20Journal%20of%20Systems%20and%20Control
Image and Vision Computing,02628856,Freedom,Image%20and%20Vision%20Computing
Immunobiology,01712985,Freedom,Immunobiology
Immunology Letters,01652478,Freedom,Immunology%20Letters
Industrial Crops and Products,09266690,Freedom,Industrial%20Crops%20and%20Products
"Infection, Disease & Health",24680451,Freedom,Infection%2C%20Disease%20%26%20Health
"Infection, Genetics and Evolution",15671348,Freedom,Infection%2C%20Genetics%20and%20Evolution
Information Fusion,15662535,Freedom,Information%20Fusion
Information & Management,03787206,Freedom,Information%20%26%20Management
Information and Organization,14717727,Freedom,Information%20and%20Organization
Information Processing & Management,03064573,Freedom,Information%20Processing%20%26%20Management
Information Sciences,00200255,Freedom,Information%20Sciences
Information and Software Technology,09505849,Freedom,Information%20and%20Software%20Technology
Innovative Food Science & Emerging Technologies,14668564,Freedom,Innovative%20Food%20Science%20%26%20Emerging%20Technologies
Inorganic Chemistry Communications,13877003,Freedom,Inorganic%20Chemistry%20Communications
Insurance: Mathematics and Economics,01676687,Freedom,Insurance%3A%20Mathematics%20and%20Economics
Intensive and Critical Care Nursing,09643397,Freedom,Intensive%20and%20Critical%20Care%20Nursing
Intermetallics,09669795,Freedom,Intermetallics
International Biodeterioration & Biodegradation,09648305,Freedom,International%20Biodeterioration%20%26%20Biodegradation
International Business Review,09695931,Freedom,International%20Business%20Review
International Dairy Journal,09586946,Freedom,International%20Dairy%20Journal
International Economics,21107017,Freedom,International%20Economics
International Emergency Nursing,1755599X,Freedom,International%20Emergency%20Nursing
International Immunopharmacology,15675769,Freedom,International%20Immunopharmacology
International Journal of Accounting Information Systems,14670895,Freedom,International%20Journal%20of%20Accounting%20Information%20Systems
International Journal of Adhesion and Adhesives,01437496,Freedom,International%20Journal%20of%20Adhesion%20and%20Adhesives
International Journal of Antimicrobial Agents,09248579,Freedom,International%20Journal%20of%20Antimicrobial%20Agents
International Journal of Applied Earth Observation and Geoinformation,03032434,Freedom,International%20Journal%20of%20Applied%20Earth%20Observation%20and%20Geoinformation
The International Journal of Biochemistry & Cell Biology,13572725,Freedom,The%20International%20Journal%20of%20Biochemistry%20%26%20Cell%20Biology
International Journal of Child-Computer Interaction,22128689,Freedom,International%20Journal%20of%20Child-Computer%20Interaction
International Journal of Coal Geology,01665162,Freedom,International%20Journal%20of%20Coal%20Geology
International Journal of Critical Infrastructure Protection,18745482,Freedom,International%20Journal%20of%20Critical%20Infrastructure%20Protection
International Journal of Developmental Neuroscience,07365748,Freedom,International%20Journal%20of%20Developmental%20Neuroscience
International Journal of Disaster Risk Reduction,22124209,Freedom,International%20Journal%20of%20Disaster%20Risk%20Reduction
International Journal of Drug Policy,09553959,Freedom,International%20Journal%20of%20Drug%20Policy
International Journal of Educational Development,07380593,Freedom,International%20Journal%20of%20Educational%20Development
International Journal of Educational Research,08830355,Freedom,International%20Journal%20of%20Educational%20Research
International Journal of Electrical Power & Energy Systems,01420615,Freedom,International%20Journal%20of%20Electrical%20Power%20%26%20Energy%20Systems
International Journal of Engineering Science,00207225,Freedom,International%20Journal%20of%20Engineering%20Science
International Journal of Food Microbiology,01681605,Freedom,International%20Journal%20of%20Food%20Microbiology
International Journal of Gastronomy and Food Science,1878450X,Freedom,International%20Journal%20of%20Gastronomy%20and%20Food%20Science
International Journal of Greenhouse Gas Control,17505836,Freedom,International%20Journal%20of%20Greenhouse%20Gas%20Control
International Journal of Hospitality Management,02784319,Freedom,International%20Journal%20of%20Hospitality%20Management
International Journal of Human-Computer Studies,10715819,Freedom,International%20Journal%20of%20Human-Computer%20Studies
International Journal of Hygiene and Environmental Health,14384639,Freedom,International%20Journal%20of%20Hygiene%20and%20Environmental%20Health
International Journal of Industrial Ergonomics,01698141,Freedom,International%20Journal%20of%20Industrial%20Ergonomics
International Journal of Information Management,02684012,Freedom,International%20Journal%20of%20Information%20Management
International Journal of Law and Psychiatry,01602527,Freedom,International%20Journal%20of%20Law%20and%20Psychiatry
International Journal of Machine Tools and Manufacture,08906955,Freedom,International%20Journal%20of%20Machine%20Tools%20and%20Manufacture
The International Journal of Management Education,14728117,Freedom,The%20International%20Journal%20of%20Management%20Education
International Journal of Mechanical Sciences,00207403,Freedom,International%20Journal%20of%20Mechanical%20Sciences
International Journal of Medical Informatics,13865056,Freedom,International%20Journal%20of%20Medical%20Informatics
International Journal of Medical Microbiology,14384221,Freedom,International%20Journal%20of%20Medical%20Microbiology
International Journal of Nursing Studies,00207489,Freedom,International%20Journal%20of%20Nursing%20Studies
International Journal of Obstetric Anesthesia,0959289X,Freedom,International%20Journal%20of%20Obstetric%20Anesthesia
International Journal of Oral and Maxillofacial Surgery,09015027,Freedom,International%20Journal%20of%20Oral%20and%20Maxillofacial%20Surgery
International Journal of Orthopaedic and Trauma Nursing,18781241,Freedom,International%20Journal%20of%20Orthopaedic%20and%20Trauma%20Nursing
International Journal of Osteopathic Medicine,17460689,Freedom,International%20Journal%20of%20Osteopathic%20Medicine
International Journal of Paleopathology,18799817,Freedom,International%20Journal%20of%20Paleopathology
International Journal for Parasitology,00207519,Freedom,International%20Journal%20for%20Parasitology
International Journal of Pediatric Otorhinolaryngology,01655876,Freedom,International%20Journal%20of%20Pediatric%20Otorhinolaryngology
International Journal of Pharmaceutics,03785173,Freedom,International%20Journal%20of%20Pharmaceutics
International Journal of Pressure Vessels and Piping,03080161,Freedom,International%20Journal%20of%20Pressure%20Vessels%20and%20Piping
International Journal of Production Economics,09255273,Freedom,International%20Journal%20of%20Production%20Economics
International Journal of Project Management,02637863,Freedom,International%20Journal%20of%20Project%20Management
International Journal of Refractory Metals and Hard Materials,02634368,Freedom,International%20Journal%20of%20Refractory%20Metals%20and%20Hard%20Materials
International Journal of Refrigeration,01407007,Freedom,International%20Journal%20of%20Refrigeration
International Journal of Research in Marketing,01678116,Freedom,International%20Journal%20of%20Research%20in%20Marketing
International Journal of Sediment Research,10016279,Freedom,International%20Journal%20of%20Sediment%20Research
International Journal of Surgery,17439191,Freedom,International%20Journal%20of%20Surgery
International Review of Economics Education,14773880,Freedom,International%20Review%20of%20Economics%20Education
International Review of Economics & Finance,10590560,Freedom,International%20Review%20of%20Economics%20%26%20Finance
International Review of Financial Analysis,10575219,Freedom,International%20Review%20of%20Financial%20Analysis
The Internet and Higher Education,10967516,Freedom,The%20Internet%20and%20Higher%20Education
Internet of Things,25426605,Freedom,Internet%20of%20Things
IRBM,19590318,Freedom,IRBM
IRBM News,19597568,Freedom,IRBM%20News
ISA Transactions,00190578,Freedom,ISA%20Transactions
ISPRS Journal of Photogrammetry and Remote Sensing,09242716,Freedom,ISPRS%20Journal%20of%20Photogrammetry%20and%20Remote%20Sensing
Japan and the World Economy,09221425,Freedom,Japan%20and%20the%20World%20Economy
Joint Bone Spine,1297319X,Freedom,Joint%20Bone%20Spine
The Journal of Academic Librarianship,00991333,Freedom,The%20Journal%20of%20Academic%20Librarianship
Journal of Accounting Education,07485751,Freedom,Journal%20of%20Accounting%20Education
Journal of Accounting Literature,07374607,Freedom,Journal%20of%20Accounting%20Literature
Journal of Adolescent Health,1054139X,Freedom,Journal%20of%20Adolescent%20Health
Journal of Aerosol Science,00218502,Freedom,Journal%20of%20Aerosol%20Science
Journal of Aging Studies,08904065,Freedom,Journal%20of%20Aging%20Studies
Journal of Air Transport Management,09696997,Freedom,Journal%20of%20Air%20Transport%20Management
Journal of Alloys and Compounds,09258388,Freedom,Journal%20of%20Alloys%20and%20Compounds
Journal of American Association for Pediatric Ophthalmology and Strabismus,10918531,Freedom,Journal%20of%20American%20Association%20for%20Pediatric%20Ophthalmology%20and%20Strabismus
Journal of the American Society of Cytopathology,22132945,Freedom,Journal%20of%20the%20American%20Society%20of%20Cytopathology
Journal of Analytical and Applied Pyrolysis,01652370,Freedom,Journal%20of%20Analytical%20and%20Applied%20Pyrolysis
Journal of Anesthesia History,23524529,Freedom,Journal%20of%20Anesthesia%20History
Journal of Applied Research on Medicinal and Aromatic Plants,22147861,Freedom,Journal%20of%20Applied%20Research%20on%20Medicinal%20and%20Aromatic%20Plants
Journal of Applied Research in Memory and Cognition,22113681,Freedom,Journal%20of%20Applied%20Research%20in%20Memory%20and%20Cognition
Journal of Archaeological Science: Reports,2352409X,Freedom,Journal%20of%20Archaeological%20Science%3A%20Reports
Journal of Arthroscopy and Joint Surgery,22149635,Freedom,Journal%20of%20Arthroscopy%20and%20Joint%20Surgery
Journal of Asia-Pacific Entomology,12268615,Freedom,Journal%20of%20Asia-Pacific%20Entomology
Journal of Atmospheric and Solar-Terrestrial Physics,13646826,Freedom,Journal%20of%20Atmospheric%20and%20Solar-Terrestrial%20Physics
Journal of Behavior Therapy and Experimental Psychiatry,00057916,Freedom,Journal%20of%20Behavior%20Therapy%20and%20Experimental%20Psychiatry
Journal of Behavioral and Experimental Finance,22146350,Freedom,Journal%20of%20Behavioral%20and%20Experimental%20Finance
Journal of Bodywork and Movement Therapies,13608592,Freedom,Journal%20of%20Bodywork%20and%20Movement%20Therapies
Journal of Building Engineering,23527102,Freedom,Journal%20of%20Building%20Engineering
Journal of Business Venturing Insights,23526734,Freedom,Journal%20of%20Business%20Venturing%20Insights
Journal of Cancer Policy,22135383,Freedom,Journal%20of%20Cancer%20Policy
Journal of Cardiology,09145087,Freedom,Journal%20of%20Cardiology
Journal of Cardiology Cases,18785409,Freedom,Journal%20of%20Cardiology%20Cases
Journal of Cardiovascular Computed Tomography,19345925,Freedom,Journal%20of%20Cardiovascular%20Computed%20Tomography
Journal of Catalysis,00219517,Freedom,Journal%20of%20Catalysis
Journal of Cereal Science,07335210,Freedom,Journal%20of%20Cereal%20Science
Journal of Chemical Neuroanatomy,08910618,Freedom,Journal%20of%20Chemical%20Neuroanatomy
Journal of Chiropractic Medicine,15563707,Freedom,Journal%20of%20Chiropractic%20Medicine
Journal of Choice Modelling,17555345,Freedom,Journal%20of%20Choice%20Modelling
Journal of Cleaner Production,09596526,Freedom,Journal%20of%20Cleaner%20Production
Journal of Clinical and Experimental Hepatology,09736883,Freedom,Journal%20of%20Clinical%20and%20Experimental%20Hepatology
Journal of Clinical Lipidology,19332874,Freedom,Journal%20of%20Clinical%20Lipidology
Journal of Clinical Neuroscience,09675868,Freedom,Journal%20of%20Clinical%20Neuroscience
Journal of Clinical Orthopaedics and Trauma,09765662,Freedom,Journal%20of%20Clinical%20Orthopaedics%20and%20Trauma
Journal of Clinical Virology,13866532,Freedom,Journal%20of%20Clinical%20Virology
Journal of CO2 Utilization,22129820,Freedom,Journal%20of%20CO2%20Utilization
Journal of Commodity Markets,24058513,Freedom,Journal%20of%20Commodity%20Markets
Journal of Comparative Pathology,00219975,Freedom,Journal%20of%20Comparative%20Pathology
Journal of Computational Science,18777503,Freedom,Journal%20of%20Computational%20Science
Journal of Computer and System Sciences,00220000,Freedom,Journal%20of%20Computer%20and%20System%20Sciences
Journal of Contemporary Accounting & Economics,18155669,Freedom,Journal%20of%20Contemporary%20Accounting%20%26%20Economics
Journal of Contextual Behavioral Science,22121447,Freedom,Journal%20of%20Contextual%20Behavioral%20Science
Journal of Co-operative Organization and Management,2213297X,Freedom,Journal%20of%20Co-operative%20Organization%20and%20Management
Journal of Corporate Finance,09291199,Freedom,Journal%20of%20Corporate%20Finance
Journal of Cranio-Maxillofacial Surgery,10105182,Freedom,Journal%20of%20Cranio-Maxillofacial%20Surgery
Journal of Criminal Justice,00472352,Freedom,Journal%20of%20Criminal%20Justice
Journal of Cultural Heritage,12962074,Freedom,Journal%20of%20Cultural%20Heritage
Journal of Cystic Fibrosis,15691993,Freedom,Journal%20of%20Cystic%20Fibrosis
Journal of Dentistry,03005712,Freedom,Journal%20of%20Dentistry
Journal of Dermatological Science,09231811,Freedom,Journal%20of%20Dermatological%20Science
Journal of Destination Marketing & Management,2212571X,Freedom,Journal%20of%20Destination%20Marketing%20%26%20Management
Journal of Drug Delivery Science and Technology,17732247,Freedom,Journal%20of%20Drug%20Delivery%20Science%20and%20Technology
The Journal of Economic Asymmetries,17034949,Freedom,The%20Journal%20of%20Economic%20Asymmetries
Journal of Economic Psychology,01674870,Freedom,Journal%20of%20Economic%20Psychology
The Journal of the Economics of Ageing,2212828X,Freedom,The%20Journal%20of%20the%20Economics%20of%20Ageing
Journal of Electromyography and Kinesiology,10506411,Freedom,Journal%20of%20Electromyography%20and%20Kinesiology
Journal of Electron Spectroscopy and Related Phenomena,03682048,Freedom,Journal%20of%20Electron%20Spectroscopy%20and%20Related%20Phenomena
Journal of Electrostatics,03043886,Freedom,Journal%20of%20Electrostatics
Journal of Energy Chemistry,20954956,Freedom,Journal%20of%20Energy%20Chemistry
Journal of the Energy Institute,17439671,Freedom,Journal%20of%20the%20Energy%20Institute
Journal of Energy Storage,2352152X,Freedom,Journal%20of%20Energy%20Storage
Journal of Engineering and Technology Management,09234748,Freedom,Journal%20of%20Engineering%20and%20Technology%20Management
Journal of English for Academic Purposes,14751585,Freedom,Journal%20of%20English%20for%20Academic%20Purposes
Journal of Environmental Chemical Engineering,22133437,Freedom,Journal%20of%20Environmental%20Chemical%20Engineering
Journal of Environmental Psychology,02724944,Freedom,Journal%20of%20Environmental%20Psychology
Journal of Environmental Sciences,10010742,Freedom,Journal%20of%20Environmental%20Sciences
Journal of Equine Veterinary Science,07370806,Freedom,Journal%20of%20Equine%20Veterinary%20Science
Journal of Ethnopharmacology,03788741,Freedom,Journal%20of%20Ethnopharmacology
Journal of the European Ceramic Society,09552219,Freedom,Journal%20of%20the%20European%20Ceramic%20Society
Journal of Evidence Based Dental Practice,15323382,Freedom,Journal%20of%20Evidence%20Based%20Dental%20Practice
Journal of Exotic Pet Medicine,15575063,Freedom,Journal%20of%20Exotic%20Pet%20Medicine
Journal of Family Business Strategy,18778585,Freedom,Journal%20of%20Family%20Business%20Strategy
Journal of Financial Intermediation,10429573,Freedom,Journal%20of%20Financial%20Intermediation
Journal of Financial Markets,13864181,Freedom,Journal%20of%20Financial%20Markets
Journal of Financial Stability,15723089,Freedom,Journal%20of%20Financial%20Stability
Journal of Fluency Disorders,0094730X,Freedom,Journal%20of%20Fluency%20Disorders
Journal of Fluorine Chemistry,00221139,Freedom,Journal%20of%20Fluorine%20Chemistry
Journal of Food Composition and Analysis,08891575,Freedom,Journal%20of%20Food%20Composition%20and%20Analysis
Journal of Food Engineering,02608774,Freedom,Journal%20of%20Food%20Engineering
Journal of Forensic and Legal Medicine,1752928X,Freedom,Journal%20of%20Forensic%20and%20Legal%20Medicine
Journal of Forensic Radiology and Imaging,22124780,Freedom,Journal%20of%20Forensic%20Radiology%20and%20Imaging
Journal of the Franklin Institute,00160032,Freedom,Journal%20of%20the%20Franklin%20Institute
Journal of Fuel Chemistry and Technology,18725813,Freedom,Journal%20of%20Fuel%20Chemistry%20and%20Technology
Journal of Functional Foods,17564646,Freedom,Journal%20of%20Functional%20Foods
Journal of Genetics and Genomics,16738527,Freedom,Journal%20of%20Genetics%20and%20Genomics
Journal of Geriatric Oncology,18794068,Freedom,Journal%20of%20Geriatric%20Oncology
Journal of Global Antimicrobial Resistance,22137165,Freedom,Journal%20of%20Global%20Antimicrobial%20Resistance
Journal of Gynecology Obstetrics and Human Reproduction,24687847,Freedom,Journal%20of%20Gynecology%20Obstetrics%20and%20Human%20Reproduction
Journal of Health Economics,01676296,Freedom,Journal%20of%20Health%20Economics
Journal of Herbal Medicine,22108033,Freedom,Journal%20of%20Herbal%20Medicine
Journal of High Energy Astrophysics,22144048,Freedom,Journal%20of%20High%20Energy%20Astrophysics
The Journal of High Technology Management Research,10478310,Freedom,The%20Journal%20of%20High%20Technology%20Management%20Research
"Journal of Hospitality, Leisure, Sport & Tourism Education",14738376,Freedom,Journal%20of%20Hospitality%2C%20Leisure%2C%20Sport%20%26%20Tourism%20Education
Journal of Hospitality and Tourism Management,14476770,Freedom,Journal%20of%20Hospitality%20and%20Tourism%20Management
Journal of Housing Economics,10511377,Freedom,Journal%20of%20Housing%20Economics
Journal of Immunological Methods,00221759,Freedom,Journal%20of%20Immunological%20Methods
Journal of Immunology and Regenerative Medicine,24684988,Freedom,Journal%20of%20Immunology%20and%20Regenerative%20Medicine
Journal of Industrial and Engineering Chemistry,1226086X,Freedom,Journal%20of%20Industrial%20and%20Engineering%20Chemistry
Journal of Industrial Information Integration,2452414X,Freedom,Journal%20of%20Industrial%20Information%20Integration
Journal of Infection and Chemotherapy,1341321X,Freedom,Journal%20of%20Infection%20and%20Chemotherapy
Journal of Information Security and Applications,22142126,Freedom,Journal%20of%20Information%20Security%20and%20Applications
Journal of Informetrics,17511577,Freedom,Journal%20of%20Informetrics
Journal of Integrative Agriculture,20953119,Freedom,Journal%20of%20Integrative%20Agriculture
Journal of Integrative Medicine,20954964,Freedom,Journal%20of%20Integrative%20Medicine
Journal of Interactive Marketing,10949968,Freedom,Journal%20of%20Interactive%20Marketing
"Journal of International Accounting, Auditing and Taxation",10619518,Freedom,Journal%20of%20International%20Accounting%2C%20Auditing%20and%20Taxation
"Journal of International Financial Markets, Institutions and Money",10424431,Freedom,Journal%20of%20International%20Financial%20Markets%2C%20Institutions%20and%20Money
Journal of International Management,10754253,Freedom,Journal%20of%20International%20Management
Journal of Interprofessional Education & Practice,24054526,Freedom,Journal%20of%20Interprofessional%20Education%20%26%20Practice
Journal of Invertebrate Pathology,00222011,Freedom,Journal%20of%20Invertebrate%20Pathology
Journal of the Korean Statistical Society,12263192,Freedom,Journal%20of%20the%20Korean%20Statistical%20Society
